,Nr,Grunnkretsnavn,2022,2023,2024
0,0.0,Uoppgitt,287,247,225
1,101.0,Lysklett,350,345,362
2,102.0,Rønningen,241,240,235
3,103.0,Tanem,1423,1434,1429
4,104.0,Lilleugla,2969,2986,2977
5,105.0,Sletten,473,530,566
6,106.0,Klæbu kirke,67,69,70
7,107.0,Tulluan,201,211,204
8,108.0,Hyttefossen,189,191,193
9,109.0,Sjøen,263,260,251
10,110.0,Brungmarka,0,0,0
11,1101.0,Løften,5,4,10
12,1102.0,Trolla,635,609,603
13,1103.0,Tømmerdalen,18,17,15
14,1104.0,Ilsvika,1806,1826,1867
15,1105.0,Skansen,1118,1119,1079
16,1106.0,Nidareid,22,21,21
17,1107.0,Ilevollen,494,494,470
18,1108.0,Arildsløkken,86,85,89
19,1109.0,Dyrborg,229,222,207
20,1110.0,Bergslien,253,260,258
21,1111.0,Marienberg,696,716,708
22,1112.0,Møllehaugen,202,208,200
23,1113.0,Fagerlia,747,741,743
24,1114.0,Schøningsdalen,277,278,283
25,1115.0,Sverresli,64,61,59
26,1116.0,Marienborg,164,176,176
27,1117.0,Cecilienborg,215,215,218
28,1201.0,Midtbyen 1,3,9,6
29,1202.0,Midtbyen 2,370,370,342
30,1203.0,Midtbyen 3,892,882,839
31,1204.0,Midtbyen 4,876,910,916
32,1205.0,Midtbyen 5,295,273,289
33,1206.0,Midtbyen 6,126,123,137
34,1207.0,Midtbyen 7,451,423,437
35,1208.0,Midtbyen 8,545,573,583
36,1209.0,Midtbyen 9,370,366,405
37,1210.0,Midtbyen 10,190,207,189
38,1211.0,Midtbyen 11,379,382,368
39,1212.0,Midtbyen 12,316,308,327
40,1213.0,Midtbyen 13,5,8,7
41,1301.0,Nidarø,706,705,708
42,1302.0,Tilfredshet,0,2,0
43,1303.0,Sannan,691,690,650
44,1304.0,Vangslund,396,397,392
45,1305.0,Paulinelund,318,314,287
46,1306.0,Elgeseter,392,403,420
47,1307.0,Dalsenget,357,365,364
48,1308.0,Marinevold 1,464,462,415
49,1309.0,Marinevold 2,100,114,140
50,1310.0,Marinevold 3,244,245,234
51,1311.0,Hesthagen,249,246,237
52,1312.0,Gløshaugen,50,44,58
53,1313.0,Jonasløkken,560,543,519
54,1315.0,Singsaker,812,828,835
55,1316.0,Lillegårdjordet,123,118,124
56,1317.0,Lillegården,284,288,297
57,1318.0,Kristiansten festning,99,98,91
58,1319.0,Nedre Berg 1,303,295,299
59,1320.0,Nedre Berg 2,110,114,116
60,1321.0,Nedre Berg 3,1,1,2
61,1322.0,Bergsbakken 1,242,245,236
62,1323.0,Bergsbakken 2,147,138,138
63,1324.0,Bergsbakken 3,97,94,101
64,1325.0,Øya-Singsaker 25,698,707,716
65,1326.0,Øya-Singsaker 26,173,179,181
66,1401.0,Rosenborg 1,712,734,736
67,1402.0,Rosenborg 2,193,192,195
68,1403.0,Rosenborg 3,603,596,588
69,1404.0,Rosenborg 4,490,492,486
70,1405.0,Rosenborg 5,479,491,475
71,1406.0,Rosenborg 6,471,504,501
72,1407.0,Rosenborg 7,799,807,779
73,1409.0,Rosenborg 9,318,328,310
74,1410.0,Rosenborg 10,308,303,311
75,1411.0,Rosenborg 11,278,284,291
76,1412.0,Rosenborg 12,492,519,528
77,1413.0,Rosenborg 13,176,175,174
78,1414.0,Rosenborg 14,463,434,461
79,1415.0,Rosenborg 15,640,634,610
80,1416.0,Rosenborg 16,450,461,465
81,1417.0,Rosenborg 17,21,22,20
82,1418.0,Rosenborg 18,261,260,254
83,1419.0,Rosenborg 19,226,239,241
84,1420.0,Rosenborg 20,282,278,279
85,1421.0,Rosenborg 21,60,63,58
86,1422.0,Rosenborg-Møllenberg 22,1005,1009,1008
87,1423.0,Rosenborg-Møllenberg 23,392,400,408
88,1501.0,Lademoen 1,751,730,712
89,1502.0,Lademoen 2,381,380,404
90,1503.0,Lademoen 3,201,182,180
91,1504.0,Lademoen 4,317,332,345
92,1505.0,Lademoen 5,734,758,768
93,1506.0,Lademoen 6,257,269,269
94,1507.0,Lademoen 7,245,264,264
95,1508.0,Lademoen 8,8,7,5
96,1509.0,Lademoen 9,58,60,59
97,1510.0,Lademoen 10,7,6,6
98,1511.0,Lademoen 11,998,957,985
99,1512.0,Lademoen 12,786,768,775
100,1513.0,Lademoen 13,447,434,436
101,1514.0,Lademoen 14,2,4,5
102,1515.0,Lademoen 15,228,223,218
103,1516.0,Lademoen 16,41,57,59
104,1517.0,Lademoen 17,2068,2268,2417
105,1518.0,Lademoen 18,28,36,33
106,1601.0,Ladehammeren,290,294,281
107,1602.0,Jarlheim,633,868,984
108,1603.0,Heimstad,386,393,373
109,1604.0,Korsvika,500,474,469
110,1605.0,Østmarkstranda,641,644,628
111,1606.0,Østmarka,304,302,314
112,1607.0,Moen,3,7,3
113,1608.0,Spandet,369,384,377
114,1609.0,Lade,778,787,801
115,1610.0,Sørgjerdet,977,1127,1224
116,1611.0,Ringve,521,515,528
117,1612.0,Devle,614,605,599
118,1613.0,Leangen,1546,1637,1839
119,1614.0,Ladalen,3,1,0
120,2101.0,Strindheim 1,288,271,296
121,2102.0,Strindheim 2,747,738,738
122,2103.0,Strindheim 3,20,17,14
123,2104.0,Strindheim 4,170,166,169
124,2105.0,Strindheim 5,1176,1190,1193
125,2106.0,Strindheim 6,845,865,879
126,2107.0,Strindheim 7,71,69,66
127,2108.0,Strindheim 8,209,217,200
128,2109.0,Strindheim 9,953,951,945
129,2110.0,Strindheim 10,597,594,580
130,2111.0,Strindheim 11,1475,1520,1519
131,2112.0,Strindheim 12,2124,2095,2082
132,2113.0,Strindheim 13,215,211,208
133,2114.0,Strindheim 14,62,59,60
134,2115.0,Strindheim 15,292,294,285
135,2117.0,Strindheim 17,115,110,112
136,2118.0,Strindheim 18,284,271,273
137,2119.0,Strindheim 19,214,213,211
138,2201.0,Jakobsli 1,22,22,22
139,2202.0,Jakobsli 2,396,386,373
140,2203.0,Jakobsli 3,486,493,468
141,2204.0,Jakobsli 4,445,447,455
142,2205.0,Jakobsli 5,1446,1558,1645
143,2206.0,Jakobsli 6,1279,1283,1308
144,2207.0,Jakobsli 7,739,752,750
145,2208.0,Jakobsli 8,5,6,6
146,2209.0,Jakobsli 9,615,616,617
147,2210.0,Jakobsli 10,1012,1043,1029
148,2211.0,Jakobsli 11,1206,1180,1185
149,2212.0,Jakobsli 12,659,642,629
150,2215.0,Jakobsli 15,518,531,533
151,2216.0,Jakobsli 16,688,693,694
152,2217.0,Jakobsli 17,299,297,304
153,2218.0,Charlottenlund-Jakobsli 18,1047,1291,1460
154,2219.0,Charlottenlund-Jakobsli 19,1108,1154,1110
155,2220.0,Charlottenlund-Jakobsli 20,621,611,592
156,2301.0,Ranheim 1,785,796,788
157,2302.0,Ranheim 2,1176,1157,1147
158,2304.0,Ranheim 4,552,541,546
159,2305.0,Ranheim 5,1100,1102,1140
160,2306.0,Ranheim 6,725,742,753
161,2307.0,Ranheim 7,858,862,942
162,2308.0,Ranheim 8,975,974,970
163,2310.0,Ranheim 10,124,121,133
164,2312.0,Ranheim 12,911,929,1055
165,2313.0,Ranheim 13,0,0,0
166,2314.0,Ranheim 14,1353,1370,1404
167,2315.0,Ranheim 15,10,11,11
168,2316.0,Ranheim 16,1452,1447,1445
